Type	Task Name Original	Task Name	Status Migração	Data	obs
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_ENDLESS_AISLE_REPORT)	U_PRJ_ECOM.VIEW_ECOM_ENDLESS_AISLE_REPORT	Done		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_VTEX_PROMOTION)	U_PRJ_ECOM.VIEW_VTEX_PROMOTION	Done		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_VTEX_PROMOTION_ITEM)	U_PRJ_ECOM.VIEW_VTEX_PROMOTION_ITEM	Done		
VIEW	(VIEW - OW_LAO.RAW_VTEX_PAYMENTS_HOMOLOG)	OW_LAO.RAW_VTEX_PAYMENTS_HOMOLOG	Done		
VIEW	(VIEW - OW_LAO.VIEW_DISTINCT_RAW_VTEX_SSG_BR_EPP2_SALES_ORDER_ITEM)	OW_LAO.VIEW_DISTINCT_RAW_VTEX_SSG_BR_EPP2_SALES_ORDER_ITEM	Done	07/01/2026	
VIEW	(VIEW - OW_LAO.VIEW_DISTINCT_RAW_VTEX_SSG_BR_SALES_ORDER_ITEM)	OW_LAO.VIEW_DISTINCT_RAW_VTEX_SSG_BR_SALES_ORDER_ITEM	Done	07/01/2026	
VIEW	(VIEW - OW_LAO.VW_TMP_VTEX_CONCAT)	OW_LAO.VW_TMP_VTEX_CONCAT	Done		
VIEW	(VIEW - OW_LAO.VW_RAW_VTEX_SSG_LAO_SALES_ORDER)	OW_LAO.VW_RAW_VTEX_SSG_LAO_SALES_ORDER	Done	07/01/2026	
VIEW	(VIEW - OW_LAO.VIEW_SALES_CONTROL_TOWER_TABLE_ELIGIBLE)	OW_LAO.VIEW_SALES_CONTROL_TOWER_TABLE_ELIGIBLE	Done		
VIEW	(VIEW - OW_LAO.VIEW_SALES_CONTROL_TOWER_TABLE_ELIGIBLE_MAT)	OW_LAO.VIEW_SALES_CONTROL_TOWER_TABLE_ELIGIBLE_MAT	Done		
VIEW	(VIEW - OW_LAO.VIEW_SALES_CONTROL_TOWER_TABLE_ELIGIBLE_PROD)	OW_LAO.VIEW_SALES_CONTROL_TOWER_TABLE_ELIGIBLE_PROD	Done		
VIEW	(VIEW - OW_LAO.VIEW_SALES_CONTROL_TOWER_TABLE_ELIGIBLE_TST)	OW_LAO.VIEW_SALES_CONTROL_TOWER_TABLE_ELIGIBLE_TST	Done		
